1000	0.929424	0.929424	0.929424	0.929424	0.929424	0.929424	0.929424	0.929424
995	0.929559	0.929559	0.929559	0.929559	0.929559	0.929559	0.929559	0.929559
990	0.92946	0.92946	0.92946	0.92946	0.92946	0.92946	0.92946	0.92946
985	0.929519	0.929519	0.929519	0.929519	0.929519	0.929519	0.929519	0.929519
980	0.92885	0.92885	0.92885	0.92885	0.92885	0.92885	0.92885	0.92885
975	0.928857	0.928857	0.928857	0.928857	0.928857	0.928857	0.928857	0.928857
970	0.928821	0.928821	0.928821	0.928821	0.928821	0.928821	0.928821	0.928821
965	0.928661	0.928661	0.928661	0.928661	0.928661	0.928661	0.928661	0.928661
960	0.928587	0.928587	0.928587	0.928587	0.928587	0.928587	0.928587	0.928587
955	0.928718	0.928718	0.928718	0.928718	0.928718	0.928718	0.928718	0.928718
950	0.928858	0.928858	0.928858	0.928858	0.928858	0.928858	0.928858	0.928858
945	0.928659	0.928659	0.928659	0.928659	0.928659	0.928659	0.928659	0.928659
940	0.928613	0.928613	0.928613	0.928613	0.928613	0.928613	0.928613	0.928613
935	0.928564	0.928564	0.928564	0.928564	0.928564	0.928564	0.928564	0.928564
930	0.928696	0.928696	0.928696	0.928696	0.928696	0.928696	0.928696	0.928696
925	0.928964	0.928964	0.928964	0.928964	0.928964	0.928964	0.928964	0.928964
920	0.928967	0.928967	0.928967	0.928967	0.928967	0.928967	0.928967	0.928967
915	0.929002	0.929002	0.929002	0.929002	0.929002	0.929002	0.929002	0.929002
910	0.928879	0.928879	0.928879	0.928879	0.928879	0.928879	0.928879	0.928879
905	0.928834	0.928834	0.928834	0.928834	0.928834	0.928834	0.928834	0.928834
900	0.929026	0.929026	0.929026	0.929026	0.929026	0.929026	0.929026	0.929026
895	0.929085	0.929085	0.929085	0.929085	0.929085	0.929085	0.929085	0.929085
890	0.928861	0.928861	0.928861	0.928861	0.928861	0.928861	0.928861	0.928861
885	0.928805	0.928805	0.928805	0.928805	0.928805	0.928805	0.928805	0.928805
880	0.92892	0.92892	0.92892	0.92892	0.92892	0.92892	0.92892	0.92892
875	0.928876	0.928876	0.928876	0.928876	0.928876	0.928876	0.928876	0.928876
