1000	0.9647795	0.9647795	0.9647795	0.9647795	0.9647795	0.9647795	0.9647795	0.9647795
995	0.96473	0.96473	0.96473	0.96473	0.96473	0.96473	0.96473	0.96473
990	0.9647595	0.9647595	0.9647595	0.9647595	0.9647595	0.9647595	0.9647595	0.9647595
985	0.964425	0.964425	0.964425	0.964425	0.964425	0.964425	0.964425	0.964425
980	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285
975	0.9644105	0.9644105	0.9644105	0.9644105	0.9644105	0.9644105	0.9644105	0.9644105
970	0.9643305	0.9643305	0.9643305	0.9643305	0.9643305	0.9643305	0.9643305	0.9643305
965	0.9642935	0.9642935	0.9642935	0.9642935	0.9642935	0.9642935	0.9642935	0.9642935
960	0.964359	0.964359	0.964359	0.964359	0.964359	0.964359	0.964359	0.964359
955	0.964429	0.964429	0.964429	0.964429	0.964429	0.964429	0.964429	0.964429
950	0.9643295	0.9643295	0.9643295	0.9643295	0.9643295	0.9643295	0.9643295	0.9643295
945	0.9643065	0.9643065	0.9643065	0.9643065	0.9643065	0.9643065	0.9643065	0.9643065
940	0.964282	0.964282	0.964282	0.964282	0.964282	0.964282	0.964282	0.964282
935	0.964348	0.964348	0.964348	0.964348	0.964348	0.964348	0.964348	0.964348
930	0.964482	0.964482	0.964482	0.964482	0.964482	0.964482	0.964482	0.964482
925	0.9644835	0.9644835	0.9644835	0.9644835	0.9644835	0.9644835	0.9644835	0.9644835
920	0.964501	0.964501	0.964501	0.964501	0.964501	0.964501	0.964501	0.964501
915	0.9644395	0.9644395	0.9644395	0.9644395	0.9644395	0.9644395	0.9644395	0.9644395
910	0.964417	0.964417	0.964417	0.964417	0.964417	0.964417	0.964417	0.964417
905	0.964513	0.964513	0.964513	0.964513	0.964513	0.964513	0.964513	0.964513
900	0.9645425	0.9645425	0.9645425	0.9645425	0.9645425	0.9645425	0.9645425	0.9645425
895	0.9644305	0.9644305	0.9644305	0.9644305	0.9644305	0.9644305	0.9644305	0.9644305
890	0.9644025	0.9644025	0.9644025	0.9644025	0.9644025	0.9644025	0.9644025	0.9644025
885	0.96446	0.96446	0.96446	0.96446	0.96446	0.96446	0.96446	0.96446
880	0.964438	0.964438	0.964438	0.964438	0.964438	0.964438	0.964438	0.964438
875	0.9643895	0.9643895	0.9643895	0.9643895	0.9643895	0.9643895	0.9643895	0.9643895
870	0.964352	0.964352	0.964352	0.964352	0.964352	0.964352	0.964352	0.964352
865	0.964212	0.964212	0.964212	0.964212	0.964212	0.964212	0.964212	0.964212
860	0.964087	0.964087	0.964087	0.964087	0.964087	0.964087	0.964087	0.964087
855	0.963814	0.963814	0.963814	0.963814	0.963814	0.963814	0.963814	0.963814
850	0.964388	0.964388	0.964388	0.964388	0.964388	0.964388	0.964388	0.964388
845	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285	0.9644285
840	0.964386	0.964386	0.964386	0.964386	0.964386	0.964386	0.964386	0.964386
835	0.964316	0.964316	0.964316	0.964316	0.964316	0.964316	0.964316	0.964316
830	0.964323	0.964323	0.964323	0.964323	0.964323	0.964323	0.964323	0.964323
825	0.964211	0.964211	0.964211	0.964211	0.964211	0.964211	0.964211	0.964211
