250	0
260	0
270	0
280	0.640
290	0.642
300	0.679
310	0.681
320	0.682
330	0.711
340	0.740
350	0.740
360	0.758
370	0.761
380	0.770
390	0.783
400	0.799
410	0.759
420	0.751
430	0.745
440	0.733
450	0.727
460	0.727
470	0.713
480	0.699
490	0.691
500	0.682
510	0.674
520	0.666
530	0.662
540	0.661
550	0.665
560	0.667
570	0.670
580	0.671
590	0.673
600	0.673
610	0.675
620	0.674
630	0.671
640	0.670
650	0.668
660	0.666
670	0.669
680	0.670
690	0.671
700	0.672
710	0.673
720	0.678
730	0.679
740	0.674
750	0.673
760	0.674
770	0.675
780	0.671
800	0.672
